county,population,area,population_density,bachelor_or_higher,income_per_cap,percent_white,percent_poverty,percent_females,percent_over_65,winner
"San Juan County, Colorado",728,389,1.87,24.80,24711,95.10,17.10,44.00,23.40,Joe Biden
"San Miguel County, Colorado",8179,1291,6.34,53.50,40827,95.10,10.60,46.80,14.70,Joe Biden
"Sedgwick County, Colorado",2248,549,4.10,15.00,21536,94.00,18.90,50.60,26.20,Donald Trump
"Summit County, Colorado",31011,619,50.11,47.70,34025,95.00,13.70,45.80,13.70,Joe Biden
"Teller County, Colorado",25388,559,45.45,31.60,31075,94.10,7.00,49.20,21.90,Donald Trump
"Washington County, Colorado",4908,2523,1.95,18.50,24977,96.20,13.10,48.00,20.70,Donald Trump
"Weld County, Colorado",324492,4014,80.84,25.90,25468,92.60,14.70,49.60,12.20,Donald Trump
"Yuma County, Colorado",10019,2370,4.23,17.70,22498,96.60,8.20,50.20,18.50,Donald Trump
"Litchfield County, Connecticut",943332,626,1506.92,44.80,48721,78.70,9.10,51.30,15.90,Donald Trump
"Hartford County, Connecticut",891720,736,1211.58,34.90,34698,75.20,11.60,51.40,17.10,Joe Biden
"Tolland County, Connecticut",180333,920,196.01,33.40,37667,93.60,6.40,50.60,21.30,Joe Biden
"Windham County, Connecticut",162436,369,440.21,39.10,39992,89.00,6.40,51.30,20.30,Donald Trump
"Fairfield County, Connecticut",854757,606,1410.49,32.90,32523,77.60,12.40,51.80,17.40,Joe Biden
"New Haven County, Connecticut",265206,666,398.21,31.30,33782,83.60,8.70,49.90,18.20,Joe Biden
"Middlesex County, Connecticut",150721,410,367.61,36.90,34392,89.00,6.50,49.90,15.80,Joe Biden
"New London County, Connecticut",116782,513,227.65,22.30,27893,92.10,11.40,50.50,16.60,Joe Biden
"Kent County, Delaware",558753,800,698.44,21.40,24851,66.20,12.90,51.80,17.10,Joe Biden
"New Castle County, Delaware",234225,494,474.14,33.80,32406,65.00,10.70,51.50,15.60,Joe Biden
"Sussex County, Delaware",705749,1196,590.09,22.20,26908,82.90,13.40,51.70,27.70,Donald Trump
"DC, DC",180786,177,1021.39,57.50,53321,45.60,16.10,52.60,12.10,Joe Biden
"Alachua County, Florida",269043,874,307.83,40.50,24857,69.90,24.90,51.70,14.00,Joe Biden
"Baker County, Florida",29210,585,49.93,10.00,19852,83.00,17.30,47.40,14.20,Donald Trump
"Bay County, Florida",174705,764,228.67,21.10,24498,81.70,14.70,50.40,17.10,Donald Trump
"Bradford County, Florida",28201,293,96.25,9.20,17749,76.70,18.20,44.80,17.80,Donald Trump
"Brevard County, Florida",601942,1018,591.30,26.30,27009,83.20,13.50,51.10,23.70,Donald Trump
"Broward County, Florida",1952778,1209,1615.20,29.90,28205,63.20,14.30,51.30,16.60,Joe Biden
"Calhoun County, Florida",14105,567,24.88,7.80,14675,82.20,23.50,45.40,18.00,Donald Trump
"Charlotte County, Florida",188910,694,272.20,21.20,26286,90.50,12.60,51.20,40.20,Donald Trump
"Citrus County, Florida",149657,584,256.26,16.60,23148,93.00,16.80,51.50,36.30,Donald Trump
"Clay County, Florida",219252,601,364.81,24.00,26577,80.60,9.80,50.70,15.80,Donald Trump
"Collier County, Florida",384902,2026,189.98,31.70,36439,89.30,14.10,50.70,32.20,Donald Trump
"Columbia County, Florida",71686,797,89.94,13.30,19306,77.80,19.80,48.40,18.90,Donald Trump
"DeSoto County, Florida",38001,637,59.66,10.60,15088,84.20,29.60,43.40,22.20,Donald Trump
"Dixie County, Florida",16826,704,23.90,8.40,16851,87.40,17.40,44.60,23.60,Donald Trump
"Duval County, Florida",957755,774,1237.41,26.40,26143,60.80,16.90,51.50,14.00,Joe Biden
"Escambia County, Florida",318316,664,479.39,23.70,23441,68.90,18.10,50.50,16.80,Donald Trump
"Flagler County, Florida",115081,485,237.28,23.30,24497,83.90,16.60,51.90,30.70,Donald Trump
"Franklin County, Florida",12125,534,22.71,14.40,19843,84.10,20.60,44.20,24.00,Donald Trump
"Gadsden County, Florida",45660,516,88.49,14.90,17615,41.70,26.50,52.50,17.90,Joe Biden
"Gilchrist County, Florida",18582,349,53.24,11.10,20180,91.20,24.10,48.40,20.50,Donald Trump
"Glades County, Florida",13811,774,17.84,12.20,16011,78.80,24.50,43.80,27.30,Donald Trump
"Gulf County, Florida",13639,565,24.14,13.60,18546,79.80,16.40,41.50,21.60,Donald Trump
"Hamilton County, Florida",14428,515,28.02,9.40,16295,62.90,23.60,42.10,18.00,Donald Trump
"Hardee County, Florida",26937,637,42.29,8.80,15366,88.40,29.60,47.20,16.60,Donald Trump
"Hendry County, Florida",42022,1153,36.45,9.90,16133,83.60,26.70,46.70,13.70,Donald Trump
"Hernando County, Florida",193920,478,405.69,15.50,21411,89.80,15.40,51.80,27.50,Donald Trump
"Highlands County, Florida",106221,1028,103.33,14.90,20072,85.40,20.10,51.10,35.30,Donald Trump
"Hillsborough County, Florida",1471968,1051,1400.54,29.50,27149,74.30,16.80,51.10,14.30,Joe Biden
"Holmes County, Florida",19617,482,40.70,12.00,16845,89.00,23.80,46.90,19.90,Donald Trump
"Indian River County, Florida",159923,503,317.94,26.60,30532,86.90,15.10,52.10,33.00,Donald Trump
"Jackson County, Florida",46414,916,50.67,14.20,17525,69.20,19.90,44.90,19.50,Donald Trump
"Jefferson County, Florida",14246,598,23.82,16.90,21184,63.10,17.20,47.60,23.50,Donald Trump
"Lafayette County, Florida",8422,543,15.51,9.30,18660,83.90,20.20,42.90,16.00,Donald Trump
"Lake County, Florida",367118,953,385.22,20.50,24183,83.50,13.80,51.60,26.70,Donald Trump
"Lee County, Florida",770577,804,958.43,24.70,27348,86.80,15.40,51.10,28.60,Donald Trump
"Leon County, Florida",293582,667,440.15,44.20,26196,61.90,23.20,52.60,13.40,Joe Biden
"Levy County, Florida",41503,1118,37.12,11.10,18304,87.10,23.70,51.20,24.80,Donald Trump
"Liberty County, Florida",8354,836,9.99,12.80,16266,77.00,24.10,38.30,14.50,Donald Trump
"Madison County, Florida",18493,692,26.72,9.70,15538,59.50,22.50,47.10,20.50,Donald Trump
"Manatee County, Florida",403253,741,544.20,26.60,27322,86.20,15.10,51.70,27.40,Donald Trump
"Marion County, Florida",365579,1579,231.53,17.40,21992,82.10,18.10,52.00,28.90,Donald Trump
"Martin County, Florida",161000,556,289.57,29.90,34057,90.10,13.00,50.60,30.90,Donald Trump
"Miami-Dade County, Florida",2716940,1946,1396.17,26.30,23174,75.60,19.90,51.40,16.70,Joe Biden
"Monroe County, Florida",74228,997,74.45,28.00,33974,89.30,13.50,48.00,23.00,Donald Trump
"Nassau County, Florida",88625,652,135.93,22.80,28926,90.60,12.60,50.80,22.20,Donald Trump
"Okaloosa County, Florida",210738,936,225.15,27.40,28600,81.10,13.40,49.30,16.00,Donald Trump
"Okeechobee County, Florida",42168,774,54.48,10.20,17787,86.80,26.90,46.30,19.80,Donald Trump
"Orange County, Florida",1393452,908,1534.64,30.10,24877,68.10,17.00,50.90,11.90,Joe Biden
"Osceola County, Florida",375751,1322,284.23,17.60,19007,79.40,17.90,50.70,13.20,Joe Biden
"Palm Beach County, Florida",1496770,2034,735.88,32.40,32858,74.80,14.50,51.50,23.90,Joe Biden
"Pasco County, Florida",553947,745,743.55,20.40,23736,87.90,13.90,51.40,22.60,Donald Trump
"Pinellas County, Florida",974996,280,3482.13,27.50,29262,82.60,14.10,52.00,24.80,Joe Biden
"Polk County, Florida",724777,1875,386.55,18.10,21285,78.90,18.20,51.00,20.20,Donald Trump
"Putnam County, Florida",74521,722,103.21,11.40,18377,80.40,26.40,50.50,23.20,Donald Trump
"St. Johns County, Florida",264672,609,434.60,25.90,26861,87.00,12.30,49.00,16.00,Donald Trump
"St. Lucie County, Florida",328297,572,573.95,30.80,32313,91.50,12.20,52.30,36.70,Donald Trump
"Santa Rosa County, Florida",184313,1016,181.41,35.00,28675,78.90,11.30,51.70,15.50,Donald Trump
"Sarasota County, Florida",433742,572,758.29,41.40,36836,88.80,9.60,51.20,20.20,Donald Trump
"Seminole County, Florida",471826,308,1531.90,19.50,23285,74.10,18.40,51.10,24.10,Joe Biden
"Sumter County, Florida",132420,546,242.53,25.20,27504,90.10,12.00,50.10,57.60,Donald Trump
"Suwannee County, Florida",44417,688,64.56,9.80,18431,84.10,23.60,48.50,21.40,Donald Trump
"Taylor County, Florida",21569,1042,20.70,11.60,17045,76.40,16.70,45.40,20.40,Donald Trump
"Union County, Florida",15237,240,63.49,10.00,13590,74.30,19.60,35.60,15.00,Donald Trump
"Volusia County, Florida",553284,1106,500.26,20.80,23973,83.90,16.80,51.20,24.40,Donald Trump
"Wakulla County, Florida",33739,607,55.58,17.20,21797,83.20,14.40,46.60,15.70,Donald Trump
"Walton County, Florida",74071,1058,70.01,24.10,25845,89.70,17.90,49.50,20.60,Donald Trump
"Washington County, Florida",25473,580,43.92,11.40,17385,80.40,20.10,46.30,17.50,Donald Trump
"Appling County, Georgia",18386,509,36.12,12.80,19643,77.30,22.90,50.10,17.20,Donald Trump
"Atkinson County, Georgia",8165,338,24.16,7.70,15958,77.20,32.20,49.50,14.10,Donald Trump
"Bacon County, Georgia",11164,285,39.17,12.10,18558,80.30,19.00,51.10,16.00,Donald Trump
"Baker County, Georgia",3038,343,8.86,10.90,17019,52.30,31.80,50.50,22.50,Donald Trump
"Baldwin County, Georgia",44890,258,173.99,19.00,18622,54.00,30.00,49.30,16.00,Joe Biden
"Banks County, Georgia",19234,234,82.20,11.60,20231,93.70,16.70,49.20,17.50,Donald Trump
"Barrow County, Georgia",83240,162,513.83,17.10,21379,80.60,13.70,51.00,12.40,Donald Trump
"Bartow County, Georgia",107738,460,234.21,15.90,21022,84.90,17.10,50.70,14.00,Donald Trump
"Ben Hill County, Georgia",16700,252,66.27,9.80,14204,61.00,38.10,52.60,17.50,Donald Trump
"Berrien County, Georgia",19397,452,42.91,12.80,16784,86.10,22.50,50.90,17.10,Donald Trump
"Bibb County, Georgia",153159,250,612.64,22.50,20982,40.30,24.90,53.10,15.60,Joe Biden
"Bleckley County, Georgia",12873,217,59.32,14.90,20156,70.80,23.30,52.30,16.80,Donald Trump
"Brantley County, Georgia",19109,444,43.04,6.40,16938,93.70,21.90,50.70,16.60,Donald Trump
"Brooks County, Georgia",15457,494,31.29,11.40,19409,61.70,24.00,51.20,19.80,Donald Trump
"Bryan County, Georgia",39627,442,89.65,30.60,27556,79.10,11.70,50.70,10.60,Donald Trump
"Bulloch County, Georgia",79608,683,116.56,27.70,18587,66.60,31.30,50.90,11.50,Donald Trump
"Burke County, Georgia",22383,831,26.94,9.90,16171,49.90,33.50,52.40,15.60,Donald Trump
"Butts County, Georgia",24936,187,133.35,8.40,20363,68.80,14.50,47.20,15.50,Donald Trump
"Calhoun County, Georgia",6189,280,22.10,11.50,14868,36.30,38.70,39.70,15.70,Joe Biden
"Camden County, Georgia",54666,630,86.77,19.50,22701,75.20,15.50,48.80,13.60,Donald Trump
"Candler County, Georgia",10803,247,43.74,14.60,17974,72.10,25.90,51.00,18.00,Donald Trump
"Carroll County, Georgia",119992,499,240.46,18.30,21227,76.60,18.90,51.20,13.60,Donald Trump
"Catoosa County, Georgia",67580,162,417.16,17.50,21690,93.20,13.90,51.60,17.70,Donald Trump
"Charlton County, Georgia",13392,781,17.15,9.40,17102,65.40,19.70,42.70,16.00,Donald Trump
"Chatham County, Georgia",289430,440,657.80,31.30,25093,53.30,19.10,51.90,15.40,Joe Biden
"Chattahoochee County, Georgia",10907,249,43.80,27.50,20042,69.90,11.90,36.00,4.80,Donald Trump
"Chattooga County, Georgia",24789,314,78.95,7.70,16045,86.70,24.00,48.90,17.60,Donald Trump
"Cherokee County, Georgia",258773,424,610.31,34.20,29615,87.80,9.80,50.80,13.90,Donald Trump
"Clarke County, Georgia",128331,121,1060.59,39.50,19295,64.60,36.70,52.60,11.00,Joe Biden
"Clay County, Georgia",3045,195,15.62,7.90,12982,37.70,44.50,52.80,26.80,Joe Biden
"Clayton County, Georgia",292256,143,2043.75,18.00,17950,19.60,24.00,53.20,9.30,Joe Biden
"Clinch County, Georgia",6618,809,8.18,12.50,17815,69.70,29.10,51.40,16.20,Donald Trump
"Cobb County, Georgia",760141,340,2235.71,43.70,33069,62.60,12.80,51.60,12.30,Joe Biden
"Coffee County, Georgia",43273,599,72.24,12.90,17031,68.50,24.30,48.60,13.80,Donald Trump
"Colquitt County, Georgia",45600,552,82.61,13.10,17025,72.70,26.70,50.50,15.50,Donald Trump
"Columbia County, Georgia",156714,290,540.39,34.10,30949,73.50,8.30,51.20,13.50,Donald Trump
"Cook County, Georgia",17270,229,75.41,12.40,18592,69.50,23.10,51.80,16.50,Donald Trump
"Coweta County, Georgia",148509,443,335.23,26.90,26757,76.90,12.70,51.30,13.90,Donald Trump
"Crawford County, Georgia",12404,325,38.17,13.00,20556,75.80,20.60,49.60,18.80,Donald Trump
"Crisp County, Georgia",22372,274,81.65,15.50,18185,52.30,31.20,52.70,18.70,Donald Trump
"Dade County, Georgia",16116,174,92.62,17.00,21690,95.70,15.90,50.90,19.30,Donald Trump
"Dawson County, Georgia",26108,211,123.73,24.40,27330,96.20,15.60,50.60,20.10,Donald Trump
"Decatur County, Georgia",26404,597,44.23,14.70,18059,54.40,27.10,51.60,16.20,Donald Trump
"DeKalb County, Georgia",759297,268,2833.20,39.70,28810,35.80,19.00,52.70,12.40,Joe Biden
"Dodge County, Georgia",20605,501,41.13,15.20,18114,67.20,19.80,47.90,18.00,Donald Trump
"Dooly County, Georgia",13390,393,34.07,10.10,14510,47.90,29.00,45.60,20.10,Donald Trump
"Dougherty County, Georgia",87956,330,266.53,17.80,18619,26.30,31.20,54.10,15.40,Joe Biden
"Douglas County, Georgia",146343,199,735.39,24.40,23626,46.70,16.10,52.50,11.50,Joe Biden
"Early County, Georgia",10190,511,19.94,12.90,17579,46.30,31.60,53.30,19.00,Donald Trump
"Echols County, Georgia",4006,404,9.92,5.70,15861,88.40,31.30,48.30,13.00,Donald Trump
"Effingham County, Georgia",64296,480,133.95,16.80,24824,82.10,11.20,50.20,11.60,Donald Trump
"Elbert County, Georgia",19194,369,52.02,11.30,18835,68.20,20.40,52.20,20.90,Donald Trump
"Emanuel County, Georgia",22646,686,33.01,11.60,17064,62.80,29.40,50.80,16.10,Donald Trump
"Evans County, Georgia",10654,185,57.59,14.10,18998,65.20,27.90,51.30,16.00,Donald Trump
"Fannin County, Georgia",26188,386,67.84,14.40,19164,96.80,23.00,51.40,29.50,Donald Trump
"Fayette County, Georgia",114421,197,580.82,42.60,35344,67.50,7.70,51.50,18.20,Donald Trump
"Floyd County, Georgia",98498,513,192.00,18.10,20500,80.50,21.00,51.70,16.70,Donald Trump
"Forsyth County, Georgia",244252,226,1080.76,43.80,34582,79.00,7.60,50.40,12.00,Donald Trump
"Franklin County, Georgia",23349,263,88.78,13.00,18234,86.80,18.90,51.00,19.00,Donald Trump
"Fulton County, Georgia",1063937,529,2011.22,48.20,36757,45.60,17.60,51.60,11.70,Joe Biden
"Gilmer County, Georgia",31369,427,73.46,16.40,21317,95.60,21.70,49.90,24.80,Donald Trump
"Glascock County, Georgia",2971,144,20.63,9.60,17984,88.90,21.40,50.50,18.00,Donald Trump
"Glynn County, Georgia",85292,422,202.11,26.10,26724,68.90,19.20,52.90,20.20,Donald Trump
"Gordon County, Georgia",57963,355,163.28,14.20,19177,91.80,21.00,50.70,14.80,Donald Trump
"Grady County, Georgia",24633,458,53.78,11.30,15734,66.50,30.10,51.80,18.20,Donald Trump
"Greene County, Georgia",18324,388,47.23,21.40,27828,63.10,22.30,51.90,29.10,Donald Trump
"Gwinnett County, Georgia",936250,433,2162.24,33.90,25932,54.50,13.90,51.20,10.10,Joe Biden
"Habersham County, Georgia",45328,278,163.05,17.10,18910,90.50,20.80,52.70,18.20,Donald Trump
"Hall County, Georgia",204441,394,518.89,22.80,23645,87.10,18.70,50.30,14.90,Donald Trump
"Hancock County, Georgia",8457,473,17.88,9.90,12381,26.30,30.60,45.00,23.30,Joe Biden
"Haralson County, Georgia",29792,282,105.65,14.10,19789,92.40,22.80,51.50,16.20,Donald Trump
"Harris County, Georgia",35236,464,75.94,27.30,31482,79.60,8.00,50.00,18.80,Donald Trump
"Hart County, Georgia",26205,232,112.95,15.50,20371,77.90,25.40,50.50,21.60,Donald Trump
"Heard County, Georgia",11923,296,40.28,8.20,18964,87.00,24.30,50.20,17.50,Donald Trump
"Henry County, Georgia",234561,323,726.20,26.10,25299,46.90,11.20,52.30,11.60,Joe Biden
"Houston County, Georgia",157863,377,418.73,24.00,25195,61.00,15.20,51.50,12.70,Donald Trump
"Irwin County, Georgia",9416,357,26.38,10.30,18207,69.70,21.20,48.00,17.90,Donald Trump
"Jackson County, Georgia",72977,342,213.38,19.50,23247,88.40,15.90,50.70,14.40,Donald Trump
"Jasper County, Georgia",14219,370,38.43,13.30,21297,77.40,21.70,51.10,17.50,Donald Trump
"Jeff Davis County, Georgia",15115,333,45.39,9.60,17684,82.00,24.50,50.70,15.70,Donald Trump
"Jefferson County, Georgia",15362,528,29.09,8.80,14757,45.10,31.50,51.70,18.30,Joe Biden
"Jenkins County, Georgia",8676,350,24.79,13.10,17565,54.40,29.40,46.40,16.80,Donald Trump
"Johnson County, Georgia",9643,304,31.72,11.50,16807,63.90,22.80,44.00,18.80,Donald Trump
"Jones County, Georgia",28735,394,72.93,17.80,24485,72.60,16.60,51.60,17.60,Donald Trump
"Lamar County, Georgia",19077,185,103.12,14.20,18800,66.50,18.90,51.80,17.00,Donald Trump
"Lanier County, Georgia",10423,187,55.74,12.00,17264,72.70,26.70,49.50,14.10,Donald Trump
"Laurens County, Georgia",47546,813,58.48,15.00,18625,60.00,24.70,52.70,17.70,Donald Trump
"Lee County, Georgia",29992,356,84.25,20.50,26357,73.40,11.20,49.90,12.60,Donald Trump
"Liberty County, Georgia",61435,519,118.37,20.20,20791,47.20,18.70,49.30,9.30,Joe Biden
"Lincoln County, Georgia",7921,211,37.54,11.40,20641,68.00,26.50,51.50,23.80,Donald Trump
"Long County, Georgia",19559,401,48.78,14.00,17158,66.40,19.20,49.60,9.60,Donald Trump
"Lowndes County, Georgia",117406,504,232.95,23.10,18897,58.00,24.30,51.60,12.40,Donald Trump
"Lumpkin County, Georgia",33610,284,118.35,25.40,20908,94.80,18.10,50.40,17.60,Donald Trump
"McDuffie County, Georgia",21312,403,52.88,10.10,13865,36.40,29.40,45.20,17.30,Donald Trump
"McIntosh County, Georgia",14378,284,50.63,14.90,19939,86.50,17.90,50.60,17.00,Donald Trump
"Macon County, Georgia",12947,367,35.28,10.60,17479,64.00,20.50,50.80,20.00,Joe Biden
"Madison County, Georgia",29880,260,114.92,13.70,17922,55.50,22.20,53.20,17.50,Donald Trump
"Marion County, Georgia",8359,434,19.26,15.80,21484,63.50,14.90,51.20,26.70,Donald Trump
"Meriwether County, Georgia",21167,503,42.08,8.90,18821,58.20,21.10,52.10,20.40,Donald Trump
"Miller County, Georgia",5718,283,20.20,11.90,19674,69.20,23.00,52.10,22.20,Donald Trump
"Mitchell County, Georgia",21863,512,42.70,9.60,15694,49.10,26.20,48.10,16.30,Donald Trump
"Monroe County, Georgia",27578,396,69.64,18.70,22888,74.40,12.90,50.10,18.50,Donald Trump
"Montgomery County, Georgia",9172,245,37.44,15.50,16460,72.10,24.50,48.60,17.10,Donald Trump
"Morgan County, Georgia",19276,350,55.07,22.70,25933,74.70,15.40,51.90,20.00,Donald Trump
"Murray County, Georgia",40096,344,116.56,9.60,16449,95.70,22.40,50.80,14.90,Donald Trump
"Muscogee County, Georgia",195769,216,906.34,22.60,22856,45.60,19.60,51.40,13.40,Joe Biden
"Newton County, Georgia",111744,276,404.87,19.40,21484,49.50,15.20,52.80,13.00,Joe Biden
"Oconee County, Georgia",40280,186,216.56,43.10,33801,88.70,9.30,50.90,15.20,Donald Trump
"Oglethorpe County, Georgia",15259,441,34.60,18.00,20493,79.40,16.40,50.60,18.90,Donald Trump
"Paulding County, Georgia",168667,314,537.16,23.40,24168,75.10,11.40,51.30,10.60,Donald Trump
"Peach County, Georgia",27546,151,182.42,19.20,19431,51.80,24.60,51.80,16.00,Donald Trump
"Pickens County, Georgia",32591,232,140.48,22.50,26686,96.10,11.90,50.90,21.90,Donald Trump
"Pierce County, Georgia",19465,343,56.75,11.80,20001,88.10,20.50,50.60,17.00,Donald Trump
"Pike County, Georgia",18962,218,86.98,17.00,22191,88.30,11.20,50.80,15.90,Donald Trump
"Polk County, Georgia",42613,311,137.02,13.10,18336,83.60,23.40,50.60,15.50,Donald Trump
"Pulaski County, Georgia",11137,247,45.09,9.60,17781,65.20,15.70,56.90,22.60,Donald Trump
"Putnam County, Georgia",22119,344,64.30,18.70,26321,70.70,14.00,51.20,24.10,Donald Trump
"Quitman County, Georgia",2299,152,15.13,3.20,14201,50.50,26.40,52.20,31.20,Donald Trump
"Rabun County, Georgia",17137,371,46.19,26.60,22260,94.90,21.50,50.80,27.60,Donald Trump
"Randolph County, Georgia",6778,429,15.80,17.40,18094,36.90,25.40,53.80,23.90,Joe Biden
"Richmond County, Georgia",202518,324,625.06,20.50,20526,37.70,25.10,51.60,14.10,Joe Biden
"Rockdale County, Georgia",90896,131,693.86,26.00,23461,38.20,14.70,53.00,14.40,Joe Biden
"Schley County, Georgia",5257,168,31.29,14.20,19037,76.20,22.30,52.60,17.10,Donald Trump
"Screven County, Georgia",13966,648,21.55,13.00,18640,56.20,27.00,50.50,18.80,Donald Trump
"Seminole County, Georgia",8090,238,33.99,12.20,17641,64.50,26.00,52.10,23.10,Donald Trump
"Spalding County, Georgia",66703,198,336.88,14.80,19783,61.90,21.50,52.00,17.90,Donald Trump
"Stephens County, Georgia",25925,179,144.83,14.20,18557,85.00,19.80,52.00,19.40,Donald Trump
"Stewart County, Georgia",6621,459,14.42,10.00,13238,44.90,30.70,34.00,15.60,Joe Biden
